,reviews,sentiment,cleaned_reviews
0,Wow... Loved this place.,1,wow loved place
1,Crust is not good.,0,crust good
2,Not tasty and the texture was just nasty.,0,tasty texture wa nasty
3,Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,1,stopped late may bank holiday rick steve recommendation loved
4,The selection on the menu was great and so were the prices.,1,selection menu wa great price
5,Now I am getting angry and I want my damn pho.,0,getting angry want damn pho
6,Honeslty it didn't taste THAT fresh.),0,honeslty taste fresh
7,The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,0,potato like rubber could tell made ahead time kept warmer
8,The fries were great too.,1,fry great
9,A great touch.,1,great touch
10,Service was very prompt.,1,service wa prompt
11,Would not go back.,0,would go back
12,The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,0,cashier care ever say still ended wayyy overpriced
13,"I tried the Cape Cod ravoli, chicken,with cranberry...mmmm!",1,tried cape cod ravoli chicken cranberry mmmm
14,I was disgusted because I was pretty sure that was human hair.,0,wa disgusted wa pretty sure wa human hair
15,I was shocked because no signs indicate cash only.,0,wa shocked sign indicate cash
16,Highly recommended.,1,highly recommended
17,Waitress was a little slow in service.,0,waitress wa little slow service
18,"This place is not worth your time, let alone Vegas.",0,place worth time let alone vega
19,did not like at all.,0,like
20,The Burrittos Blah!,0,burrittos blah
21,"The food, amazing.",1,food amazing
22,Service is also cute.,1,service also cute
23,I could care less... The interior is just beautiful.,1,could care le interior beautiful
24,So they performed.,1,performed
25,That's right....the red velvet cake.....ohhh this stuff is so good.,1,right red velvet cake ohhh stuff good
26,- They never brought a salad we asked for.,0,never brought salad asked
27,"This hole in the wall has great Mexican street tacos, and friendly staff.",1,hole wall ha great mexican street taco friendly staff
28,"Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.",0,took hour get food table restaurant food wa luke warm sever wa running around like wa totally overwhelmed
29,The worst was the salmon sashimi.,0,worst wa salmon sashimi
30,"Also there are combos like a burger, fries, and beer for 23 which is a decent deal.",1,also combo like burger fry beer decent deal
31,This was like the final blow!,0,wa like final blow
32,I found this place by accident and I could not be happier.,1,found place accident could happier
33,"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.",0,seems like good quick place grab bite familiar pub food favor look elsewhere
34,"Overall, I like this place a lot.",1,overall like place lot
35,The only redeeming quality of the restaurant was that it was very inexpensive.,1,redeeming quality restaurant wa wa inexpensive
36,Ample portions and good prices.,1,ample portion good price
37,"Poor service, the waiter made me feel like I was stupid every time he came to the table.",0,poor service waiter made feel like wa stupid every time came table
