,0
0,1
1,0
2,1
3,0
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,0
15,0
16,0
17,1
18,1
19,0
20,1
21,1
22,0
23,1
24,1
25,0
26,1
27,1
28,0
29,0
30,1
31,1
32,0
33,1
34,1
35,1
36,1
37,0
38,1
39,0
40,0
41,0
42,1
43,0
44,1
45,0
46,1
47,0
48,1
49,1
50,1
51,0
52,1
53,0
54,0
55,0
56,0
57,1
58,1
59,0
60,0
61,1
62,0
63,1
64,0
65,0
66,0
67,0
68,0
69,0
70,1
71,1
72,1
73,1
74,0
75,1
76,1
77,1
78,1
79,0
80,1
81,1
82,0
83,0
84,0
85,1
86,0
87,1
88,0
89,1
90,1
91,0
92,1
93,0
94,1
95,0
96,1
97,0
98,0
99,1
100,1
101,1
102,0
103,0
104,1
105,1
106,1
107,0
108,1
109,0
110,1
111,1
112,1
113,1
114,1
115,1
116,0
117,1
118,1
119,1
120,1
121,0
122,0
123,0
124,1
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,1
133,0
134,1
135,1
136,0
137,0
138,0
139,0
140,0
141,0
142,1
143,0
144,0
145,1
146,0
147,0
148,1
149,0
150,1
151,0
152,0
153,1
154,0
155,0
156,1
157,1
158,0
159,1
160,0
161,1
162,0
163,1
164,0
165,1
166,0
167,0
168,0
169,1
170,1
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,1
179,0
180,0
181,0
182,0
183,1
184,0
185,0
186,0
187,1
188,1
189,1
190,1
191,0
192,1
193,0
194,0
195,1
196,1
197,1
198,0
199,1
200,0
201,1
202,0
203,0
204,0
205,0
206,0
207,1
208,0
209,0
210,0
211,1
212,0
213,1
214,0
215,1
216,1
217,0
218,1
219,0
220,0
221,0
222,1
223,0
224,0
225,0
226,1
227,1
228,1
229,1
230,0
231,0
232,0
233,0
234,0
235,1
236,1
237,1
238,1
239,1
240,0
241,0
242,0
243,0
244,1
245,1
246,0
247,0
248,1
249,1
250,0
251,0
252,0
253,0
254,0
255,1
256,1
257,0
258,1
259,1
260,1
261,0
262,1
263,0
264,1
265,1
266,1
267,0
268,1
269,0
270,0
271,0
272,1
273,0
274,0
275,1
276,1
277,1
278,0
279,1
280,0
281,1
282,0
283,0
284,0
285,1
286,1
287,0
288,1
289,0
290,0
291,0
292,0
293,1
294,0
295,1
296,1
297,0
298,1
299,0
300,1
301,1
302,1
303,1
304,1
305,0
306,1
307,1
308,0
309,0
310,1
311,0
312,1
313,1
314,1
315,0
316,0
317,1
318,0
319,1
320,1
321,1
322,1
323,0
324,1
325,0
326,1
327,0
328,0
329,0
330,1
331,0
332,1
333,1
334,1
335,0
336,1
337,1
338,1
339,1
340,1
341,0
342,0
343,1
344,1
345,1
346,0
347,0
348,1
349,1
350,1
351,0
352,0
353,0
354,0
355,1
356,0
357,0
358,1
359,0
360,1
361,1
362,1
363,0
364,1
365,1
366,0
367,1
368,0
369,0
370,0
371,1
372,1
373,0
374,1
375,1
376,1
377,1
378,1
379,1
380,0
381,1
382,0
383,1
384,0
385,1
386,1
387,0
388,1
389,0
390,1
391,1
392,0
393,0
394,0
395,1
396,1
397,1
398,0
399,0
400,0
401,0
402,0
403,0
404,1
405,0
406,1
407,0
408,1
409,1
410,1
411,1
412,1
413,0
414,0
415,0
416,1
417,1
418,1
419,0
420,1
421,1
422,0
423,0
424,1
425,1
426,1
427,1
428,0
429,0
430,1
431,0
432,1
433,1
434,1
435,0
436,0
437,1
438,1
439,1
440,0
441,0
442,1
443,0
444,1
445,0
446,1
447,1
448,0
449,0
450,1
451,0
452,1
453,1
454,0
455,0
456,0
457,1
458,0
459,1
460,0
461,0
462,0
463,0
464,1
465,1
466,0
467,0
468,1
469,1
470,1
471,0
472,1
473,1
474,0
475,1
476,0
477,1
478,0
479,1
480,1
481,0
482,1
483,1
484,0
485,1
486,1
487,0
488,1
489,0
490,0
491,1
492,0
493,1
494,1
495,0
496,1
497,0
498,0
499,1
500,0
501,1
502,0
503,0
504,1
505,1
506,0
507,0
508,1
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,1
524,1
525,0
526,0
527,0
528,1
529,1
530,0
531,1
532,1
533,1
534,1
535,0
536,1
537,0
538,0
539,0
540,0
541,0
542,0
543,1
544,1
545,1
546,1
547,1
548,1
549,0
550,0
551,1
552,0
553,0
554,1
555,1
556,1
557,1
558,0
559,0
560,0
561,1
562,1
563,0
564,1
565,1
566,0
567,1
568,1
569,0
570,0
571,0
572,1
573,0
574,0
575,0
576,0
577,1
578,1
579,0
580,0
581,1
582,0
583,0
584,1
585,0
586,0
587,1
588,1
589,0
590,1
591,0
592,1
593,1
594,0
595,1
596,0
597,1
598,0
599,1
600,1
601,0
602,0
603,0
604,0
605,0
606,1
607,0
608,0
609,0
610,0
611,0
612,1
613,0
614,0
615,1
616,1
617,1
618,0
619,1
620,1
621,1
622,0
623,0
624,1
625,1
626,0
627,1
628,0
629,0
630,1
631,0
632,1
633,0
634,1
635,0
636,1
637,1
638,0
639,1
640,1
641,1
642,1
643,1
644,1
645,0
646,1
647,1
648,0
649,0
650,0
651,1
652,0
653,0
654,0
655,1
656,0
657,1
658,1
659,1
660,0
661,1
662,0
663,0
664,0
665,0
666,0
667,0
668,1
669,0
670,1
671,1
672,0
673,1
674,0
675,0
676,0
677,1
678,1
679,1
680,0
681,0
682,0
683,1
684,1
685,1
686,1
687,1
688,0
689,0
690,0
691,1
692,1
693,1
694,1
695,1
696,0
697,0
698,1
699,1
700,0
701,1
702,1
703,0
704,1
705,0
706,1
707,0
708,1
709,1
710,0
711,1
712,1
713,1
714,0
715,0
716,1
717,1
718,0
719,0
720,0
721,1
722,1
723,1
724,0
725,1
726,0
727,1
728,0
729,1
730,1
731,1
732,1
733,1
734,0
735,1
736,1
737,0
738,0
739,1
740,0
741,1
742,1
743,0
744,0
745,0
746,0
747,1
748,0
749,0
750,0
751,0
752,1
753,1
754,0
755,1
756,1
757,1
758,0
759,1
760,0
761,0
762,0
763,0
764,1
765,0
766,1
767,1
768,1
769,0
770,1
771,0
772,0
773,1
774,1
775,0
776,0
777,0
778,1
779,0
780,0
781,1
782,1
783,0
784,1
785,0
786,1
787,0
788,1
789,0
790,0
791,1
792,0
793,0
794,1
795,0
796,1
797,1
798,0
799,1
