,0,1,2,3,4,5,6,7,8,9,10,11
0,0,0,0,0,0,0,0,0,0,81,75,111
1,0,0,0,0,0,0,0,0,39,68,1398,1399
2,0,0,0,445,1260,682,110,650,683,185,1261,1262
3,0,0,0,0,0,0,878,29,879,57,372,880
4,0,0,0,0,0,0,0,0,0,6,402,117
5,0,0,0,0,5,1,6,34,320,26,696,63
6,0,0,0,0,0,0,0,50,261,1,12,6
7,0,0,0,0,0,5,204,34,10,74,9,9
8,0,0,0,0,0,0,0,0,19,401,147,571
9,491,787,96,4,492,788,789,61,30,790,126,207
10,0,0,0,0,0,0,0,0,0,0,4,555
11,0,0,0,0,0,0,0,0,0,1,231,388
12,0,0,0,0,0,0,0,0,0,6,588,589
13,0,0,1702,1703,1704,1705,1,214,745,321,1706,739
14,0,0,0,0,0,0,3,1,120,2,356,384
15,0,0,0,0,0,0,0,0,0,0,0,219
16,0,0,0,0,0,0,397,20,1430,364,1431,426
17,0,0,0,0,0,0,0,58,5,541,268,874
18,0,0,0,0,0,0,0,158,3,778,52,779
19,0,0,0,0,0,0,0,0,1523,1524,1,38
20,0,0,0,0,0,0,304,1084,616,1085,21,67
21,0,0,0,0,0,0,0,0,0,2,1539,512
22,0,0,0,0,2,1,11,4,41,233,1170,245
23,0,0,0,0,0,0,0,0,0,33,13,30
24,0,0,0,0,0,0,0,0,6,3,258,92
25,0,0,0,0,0,0,5,1,4,519,1,57
26,0,0,0,0,0,0,0,0,0,666,722,15
27,0,0,0,0,0,0,0,0,1350,1351,18,1352
28,0,0,0,0,0,26,7,270,143,920,84,144
29,0,0,0,0,0,0,0,0,6,15,909,288
30,0,0,0,0,0,0,0,0,0,320,1,58
31,0,0,0,0,0,0,0,0,79,5,427,89
32,0,0,0,0,0,0,0,0,0,0,0,279
33,0,0,0,0,61,49,47,37,1,6,107,5
34,0,11,23,370,139,392,110,51,929,277,45,930
35,0,0,0,277,63,88,31,158,297,316,1761,48
36,0,0,0,0,0,0,0,0,0,3,467,464
37,0,104,129,19,41,197,44,119,130,31,26,616
38,0,0,0,0,1366,183,1367,243,689,266,115,40
