,0
0,1
1,0
2,0
3,0
4,1
5,1
6,1
7,1
8,0
9,0
10,1
11,1
12,1
13,0
14,0
15,0
16,1
17,0
18,1
19,0
20,1
21,0
22,1
23,0
24,1
25,1
26,1
27,1
28,0
29,1
30,0
31,1
32,1
33,1
34,1
35,0
36,0
37,0
38,0
39,0
40,0
41,1
42,1
43,0
44,0
45,1
46,0
47,1
48,1
49,0
50,1
51,0
52,1
53,0
54,0
55,0
56,1
57,0
58,0
59,1
60,1
61,1
62,1
63,0
64,0
65,0
66,1
67,1
68,0
69,0
70,0
71,0
72,1
73,1
74,1
75,1
76,0
77,0
78,1
79,0
80,0
81,1
82,1
83,1
84,1
85,0
86,0
87,0
88,0
89,0
90,1
91,1
92,1
93,0
94,0
95,1
96,1
97,0
98,1
99,0
100,1
101,0
102,0
103,1
104,1
105,1
106,0
107,1
108,0
109,1
110,1
111,1
112,0
113,1
114,0
115,0
116,1
117,1
118,0
119,0
120,0
121,1
122,0
123,1
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,1
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,1
141,1
142,0
143,0
144,1
145,0
146,0
147,1
148,1
149,0
150,0
151,0
152,1
153,1
154,1
155,0
156,1
157,1
158,0
159,0
160,1
161,1
162,1
163,0
164,1
165,1
166,1
167,0
168,0
169,0
170,0
171,0
172,1
173,0
174,1
175,1
176,0
177,0
178,0
179,1
180,1
181,0
182,1
183,0
184,1
185,1
186,1
187,1
188,1
189,1
190,0
191,1
192,1
193,1
194,1
195,1
196,1
197,0
198,1
199,1
